# Narayanan et al. (2018) median dust attenuation curves at z = 0 to 6.
#
# Source     https://bitbucket.org/desika/narayanan_attenuation_laws/
#            file median_curve_redshifts.dat, at commit cc78a26.
# Retrieved  2026-09-07
# Paper      D. Narayanan, C. Conroy, R. Dave, B. D. Johnson and G. Popping,
#            "A Theory for the Variation of Dust Attenuation Laws in Galaxies",
#            ApJ, 869, 70 (2018). arXiv:1805.06905.
#            https://doi.org/10.3847/1538-4357/aaed25
#            These are the best-fit median attenuation curves of the paper's
#            Figure 9, from the 25 Mpc MUFASA cosmological hydrodynamic
#            simulation post-processed with dust radiative transfer.
#
# Repackaged, with attribution: every 5th row of the upstream file, verbatim
# and at full precision (917 of its 4585 rows). The upstream file repeats three
# abscissae near x = 5.93 to 5.98, where two overlapping segments were joined
# with a 1 to 3 percent step; the stride skips the repeat, so x here is
# strictly decreasing.
#
# Columns    x  z0  z1  z2  z3  z4  z5  z6
#   x        inverse wavelength 1 / lambda [1/micron], 9.9502 down to 1.0091,
#            that is lambda = 1005 to 9910 Angstrom.
#   zN       median A(lambda) at redshift N [dimensionless], on the paper's
#            normalization by the 3000 Angstrom optical depth tau_3000
#            (Section 5.1). Measured on these columns: the seven curves pass
#            through unity to within 1.2 percent at 3000 Angstrom (0.9929 to
#            1.0120) and their spread across z is smallest there. They are not
#            on A_V = 1, which is why the Kriek and Conroy (2013) fit in
#            scripts/fit_narayanan2018_medians.py carries a free normalization.
#
# x z0 z1 z2 z3 z4 z5 z6
2.727289438118921 0.7084346790428929 0.7782686430596186 0.7560147879051496 0.7697976264869559 0.787565198991527 0.8897544091139993 0.8754633870675236
2.72394557633009 0.7069489929539662 0.776649140753292 0.7546360619570688 0.7686974804121951 0.7863541419139378 0.8890514520082374 0.8747591213144797
2.7206098301346446 0.7054907253211328 0.7750130510951367 0.7532495160646043 0.7675953683202908 0.7851278957253917 0.8882997944255616 0.8740257233752814
2.7172822438621154 0.7040603107493699 0.7733607028884645 0.7518550267086209 0.766490801412704 0.7838860381255677 0.8874984885316676 0.8732624525110887
2.7139628612637385 0.7026581236307046 0.7716924634584551 0.7504524968616747 0.7653833102846962 0.7826281964143192 0.88664671615451 0.8724686495876203
2.7106515050892486 0.701284386025016 0.7700086255662456 0.7490417621120983 0.7642723719275255 0.7813539634404268 0.8857437299969118 0.8716436833504215
2.7073482195611764 0.6999393532107441 0.7683096294998347 0.747622777987471 0.7631575583646707 0.7800630665381857 0.8847889699175158 0.8707870582956304
2.704053048329027 0.6986232160755707 0.7665959530759796 0.7461955276363229 0.7620384642025841 0.7787552865582461 0.8837820139289702 0.869898366858134
2.700765815650857 0.6973360150553367 0.7648679955645415 0.7447599261862405 0.7609146326017839 0.7774303701774354 0.8827225083516697 0.8689772288533042
2.6974865656402205 0.6960778144513179 0.7631263057697328 0.7433160112753784 0.7597857053389317 0.7760882052839553 0.8816103042907695 0.8680234116517597
2.6942153418428516 0.6948486107634263 0.7613714687962666 0.7418638490069299 0.7586513495908225 0.774728736534833 0.8804453978765167 0.8670367758179875
2.6909519700055733 0.6936482526857763 0.7596039873082954 0.7404034365542004 0.7575111826442128 0.7733518739542711 0.8792278493068982 0.866017207585936
2.6876964941310657 0.6924766040673046 0.7578245150393887 0.7389348959308731 0.7563649238775929 0.7719576750114063 0.8779579399021215 0.8649647517667026
2.6844489576593413 0.6913334582948722 0.7560337405825814 0.7374583781830045 0.7552123205082792 0.7705462565386809 0.8766361013025039 0.8638795505436475
2.6812091878067728 0.6902184642298849 0.754232266370661 0.7359739643067087 0.7540530708681011 0.7691176996577416 0.8752628236036417 0.8627617690452156
2.677977228463352 0.6891312779125949 0.7524208469270331 0.7344818621876833 0.7528869787036514 0.7676722385906853 0.8738388328586757 0.8616117410635906
2.6747531229615045 0.6880714829953978 0.7506002700026857 0.7329823090455442 0.7517138776638016 0.7662101688764954 0.8723650092073395 0.8604299009188722
2.671536699968262 0.6870385223670206 0.7487712337258985 0.7314754707821917 0.7505335530195665 0.7647317487683194 0.8708422845583916 0.8592167023057447
2.668328003259203 0.6860318389534504 0.7469345887802921 0.7299616419172414 0.7493458985820853 0.7632373946136882 0.8692718399364704 0.8579727766271155
2.6651270760573698 0.685050802079962 0.745091217278103 0.7284411463531855 0.7481508397612772 0.7617275854074486 0.8676550127124609 0.8566988579379188
2.661933748461902 0.6840946443973676 0.743241908578438 0.7269142353222026 0.7469482536577098 0.7602027609177933 0.8659931846329615 0.8553956955168565
2.6587480641323 0.6831625923880511 0.7413876044676814 0.7253812900442411 0.7457381287989142 0.7586635232539793 0.8642879977871357 0.854064224176029
2.655570066180524 0.6822537983973762 0.7395292762113616 0.723842720928767 0.7445204866458851 0.7571105379010546 0.8625412514670789 0.8527054825267001
2.652399586119569 0.6813672823610403 0.7376677996005069 0.7222988643437592 0.7432953000460979 0.7555444289478292 0.8607547815336147 0.8513205198787253
2.649236667491286 0.6805020528715813 0.7358042020923089 0.720750187617099 0.7420626558787409 0.7539659862346348 0.8589306933238057 0.8499105775439192
2.6460813532949126 0.679657044500404 0.7339395385447607 0.7191971868453969 0.7408226749359322 0.7523760631355828 0.8570712488577673 0.8484770008761834
2.6429334764393717 0.6788310636841655 0.7320747660959671 0.7176402827576016 0.7395754287943184 0.7507754693597235 0.8551787388803918 0.8470211412003986
2.639793080347356 0.6780229014695519 0.7302109921219594 0.7160800275789642 0.7383211053334273 0.7491651828662461 0.853255730419938 0.8455445468726177
2.6366602079038217 0.6772312756157266 0.7283493492095218 0.7145170016690005 0.7370599269893319 0.7475462447547626 0.8513049453804635 0.8440488696138463
2.633534693395991 0.6764547798735704 0.726490870521348 0.7129517088025471 0.7357920661482444 0.7459196502391904 0.849329126844344 0.8425357624799935
2.6304165801259614 0.6756919897807458 0.7246367373292536 0.7113847843142425 0.734517813396803 0.7442865642786038 0.8473312984519467 0.84100707895613
